Freq.,Pulsación,w/w0,V(n001)/(-I(V1)),,Módulo,Fase [rad],Fase [°]
"1,00E+00","6,28E+00","2,00E-02","6,00E+02","-1,97E-02","600,001211381535","-3,28472031504284E-05","-0,001882006109328"
"1,02E+00","6,43E+00","2,05E-02","6,00E+02","-2,06E-02","600,001155298811","-3,43812999344478E-05","-0,001969903380417"
"1,05E+00","6,58E+00","2,09E-02","6,00E+02","-2,16E-02","600,001094748383","-3,60060641197607E-05","-0,00206299551094"
"1,07E+00","6,73E+00","2,14E-02","6,00E+02","-2,26E-02","600,001029343723","-3,7727528652776E-05","-0,002161628163263"
"1,10E+00","6,89E+00","2,19E-02","6,00E+02","-2,37E-02","600,000958663111","-3,95521465223695E-05","-0,002266171066415"
"1,12E+00","7,05E+00","2,24E-02","6,00E+02","-2,49E-02","600,000882246355","-4,14868203423846E-05","-0,002377019711036"
"1,15E+00","7,21E+00","2,30E-02","6,00E+02","-2,61E-02","600,000799591168","-4,35389342152847E-05","-0,002494597175034"
"1,17E+00","7,38E+00","2,35E-02","6,00E+02","-2,74E-02","600,000710149235","-4,57163875438336E-05","-0,002619356060846"
"1,20E+00","7,55E+00","2,40E-02","6,00E+02","-2,88E-02","600,000613321875","-4,80276315984188E-05","-0,002751780590599"
"1,23E+00","7,73E+00","2,46E-02","6,00E+02","-3,03E-02","600,00050845531","-5,04817085152009E-05","-0,002892388840531"
"1,26E+00","7,91E+00","2,52E-02","6,00E+02","-3,19E-02","600,000394835476","-5,30882928165868E-05","-0,003041735119945"
"1,29E+00","8,09E+00","2,58E-02","6,00E+02","-3,35E-02","600,000271682339","-5,58577364031558E-05","-0,003200412549055"
"1,32E+00","8,28E+00","2,64E-02","6,00E+02","-3,53E-02","600,00013814368","-5,88011160676729E-05","-0,003369055781337"
"1,35E+00","8,48E+00","2,70E-02","6,00E+02","-3,72E-02","599,999993288267","-6,1930284854982E-05","-0,003548343946233"
"1,38E+00","8,67E+00","2,76E-02","6,00E+02","-3,92E-02","599,999836098398","-6,5257926959509E-05","-0,003739003794553"
"1,41E+00","8,88E+00","2,83E-02","6,00E+02","-4,13E-02","599,999665461718","-6,8797616226794E-05","-0,003941813050356"
"1,45E+00","9,08E+00","2,89E-02","6,00E+02","-4,35E-02","599,999480162259","-7,2563879087311E-05","-0,004157604016801"
"1,48E+00","9,29E+00","2,96E-02","6,00E+02","-4,59E-02","599,999278870628","-7,6572261789069E-05","-0,004387267428285"
"1,51E+00","9,51E+00","3,03E-02","6,00E+02","-4,85E-02","599,999060133256","-8,08394023033727E-05","-0,004631756570343"
"1,55E+00","9,73E+00","3,10E-02","6,00E+02","-5,12E-02","599,998822360614","-8,53831074445865E-05","-0,004892091698287"
"1,58E+00","9,96E+00","3,17E-02","6,00E+02","-5,41E-02","599,998563814313","-9,02224352950562E-05","-0,005169364759799"
"1,62E+00","1,02E+01","3,24E-02","6,00E+02","-5,72E-02","599,998282592965","-9,53777833842988E-05","-0,005464744447233"
"1,66E+00","1,04E+01","3,32E-02","6,00E+02","-6,05E-02","599,997976616693","-0,000100870983171","-0,005779481611057"
"1,70E+00","1,07E+01","3,40E-02","6,00E+02","-6,40E-02","599,997643610164","-0,000106725401113","-0,006114915050621"
"1,74E+00","1,09E+01","3,48E-02","6,00E+02","-6,78E-02","599,997281083986","-0,000112966046795","-0,006472477709644"
"1,78E+00","1,12E+01","3,56E-02","6,00E+02","-7,18E-02","599,996886314345","-0,000119619688597","-0,006853703303303"
"1,82E+00","1,14E+01","3,64E-02","6,00E+02","-7,60E-02","599,99645632068","-0,000126714977489","-0,007260233411228"
"1,86E+00","1,17E+01","3,72E-02","6,00E+02","-8,06E-02","599,995987841226","-0,000134282579543","-0,007693825069938"
"1,91E+00","1,20E+01","3,81E-02","6,00E+02","-8,54E-02","599,995477306212","-0,000142355317541","-0,008156358886353"
"1,95E+00","1,23E+01","3,90E-02","6,00E+02","-9,06E-02","599,994920808507","-0,000150968322564","-0,008649847723081"
"2,00E+00","1,25E+01","3,99E-02","6,00E+02","-9,61E-02","599,994314071435","-0,000160159196131","-0,009176445988507"
"2,04E+00","1,28E+01","4,08E-02","6,00E+02","-1,02E-01","599,993652413528","-0,000169968183589","-0,009738459571145"
"2,09E+00","1,31E+01","4,18E-02","6,00E+02","-1,08E-01","599,9929307099","-0,000180438359506","-0,010338356461975"
"2,14E+00","1,34E+01","4,28E-02","6,00E+02","-1,15E-01","599,992143349911","-0,000191615826034","-0,01097877811966"
"2,19E+00","1,37E+01","4,38E-02","6,00E+02","-1,22E-01","599,991284190797","-0,000203549924839","-0,011662551613494"
"2,24E+00","1,41E+01","4,48E-02","6,00E+02","-1,30E-01","599,990346506844","-0,0002162934639","-0,012392702617739"
"2,29E+00","1,44E+01","4,58E-02","6,00E+02","-1,38E-01","599,989322933705","-0,000229902959761","-0,013172469291866"
"2,34E+00","1,47E+01","4,69E-02","6,00E+02","-1,47E-01","599,988205407384","-0,000244438896627","-0,014005317125533"
"2,40E+00","1,51E+01","4,80E-02","6,00E+02","-1,56E-01","599,986985097379","-0,000259966003156","-0,014894954797699"
"2,45E+00","1,54E+01","4,91E-02","6,00E+02","-1,66E-01","599,985652333422","-0,000276553548441","-0,015845351135011"
"2,51E+00","1,58E+01","5,02E-02","6,00E+02","-1,77E-01","599,98419652521","-0,000294275657991","-0,016860753216339"
"2,57E+00","1,62E+01","5,14E-02","6,00E+02","-1,88E-01","599,982606074457","-0,000313211651646","-0,017945705733662"
"2,63E+00","1,65E+01","5,26E-02","6,00E+02","-2,00E-01","599,980868278516","-0,000333446404243","-0,019105071656922"
"2,69E+00","1,69E+01","5,38E-02","6,00E+02","-2,13E-01","599,978969224799","-0,000355070731069","-0,020344054318883"
"2,75E+00","1,73E+01","5,51E-02","6,00E+02","-2,27E-01","599,976893675077","-0,000378181799299","-0,021668220988522"
"2,82E+00","1,77E+01","5,64E-02","6,00E+02","-2,42E-01","599,974624938732","-0,000402883567398","-0,023083528047077"
"2,88E+00","1,81E+01","5,77E-02","6,00E+02","-2,58E-01","599,972144733867","-0,000429287254182","-0,024596347863386"
"2,95E+00","1,85E+01","5,90E-02","6,00E+02","-2,74E-01","599,969433035161","-0,00045751183935","-0,026213497471998"
"3,02E+00","1,90E+01","6,04E-02","6,00E+02","-2,93E-01","599,966467907158","-0,000487684597764","-0,027942269185419"
"3,09E+00","1,94E+01","6,18E-02","6,00E+02","-3,12E-01","599,963225321645","-0,000519941669311","-0,029790463244507"
"3,16E+00","1,99E+01","6,32E-02","6,00E+02","-3,33E-01","599,959678957571","-0,000554428666822","-0,031766422649983"
"3,24E+00","2,03E+01","6,47E-02","6,00E+02","-3,55E-01","599,955799981869","-0,000591301324333","-0,033879070304762"
"3,31E+00","2,08E+01","6,62E-02","6,00E+02","-3,78E-01","599,951556809345","-0,000630726188133","-0,036137948608387"
