Freq.	V(n001)/I(V1)
1.00000000000000e+000	(5.55630425441991e+001dB,1.79998117993891e+002°)
1.02329299228075e+000	(5.55630417323201e+001dB,1.79998030096620e+002°)
1.04712854805090e+000	(5.55630408557645e+001dB,1.79997937004489e+002°)
1.07151930523761e+000	(5.55630399089367e+001dB,1.79997838371837e+002°)
1.09647819614318e+000	(5.55630388857318e+001dB,1.79997733828934e+002°)
1.12201845430196e+000	(5.55630377794876e+001dB,1.79997622980289e+002°)
1.14815362149688e+000	(5.55630365829329e+001dB,1.79997505402825e+002°)
1.17489755493953e+000	(5.55630352881299e+001dB,1.79997380643939e+002°)
1.20226443461741e+000	(5.55630338864119e+001dB,1.79997248219409e+002°)
1.23026877081238e+000	(5.55630323683143e+001dB,1.79997107611159e+002°)
1.25892541179417e+000	(5.55630307234999e+001dB,1.79996958264880e+002°)
1.28824955169313e+000	(5.55630289406767e+001dB,1.79996799587451e+002°)
1.31825673855641e+000	(5.55630270075072e+001dB,1.79996630944219e+002°)
1.34896288259165e+000	(5.55630249105106e+001dB,1.79996451656054e+002°)
1.38038426460288e+000	(5.55630226349538e+001dB,1.79996260996205e+002°)
1.41253754462275e+000	(5.55630201647339e+001dB,1.79996058186950e+002°)
1.44543977074593e+000	(5.55630174822475e+001dB,1.79995842395983e+002°)
1.47910838816821e+000	(5.55630145682497e+001dB,1.79995612732572e+002°)
1.51356124843621e+000	(5.55630114016975e+001dB,1.79995368243430e+002°)
1.54881661891248e+000	(5.55630079595799e+001dB,1.79995107908302e+002°)
1.58489319246111e+000	(5.55630042167307e+001dB,1.79994830635240e+002°)
1.62181009735893e+000	(5.55630001456240e+001dB,1.79994535255553e+002°)
1.65958690743756e+000	(5.55629957161500e+001dB,1.79994220518389e+002°)
1.69824365246174e+000	(5.55629908953691e+001dB,1.79993885084949e+002°)
1.73780082874937e+000	(5.55629856472430e+001dB,1.79993527522290e+002°)
1.77827941003892e+000	(5.55629799323393e+001dB,1.79993146296697e+002°)
1.81970085860998e+000	(5.55629737075089e+001dB,1.79992739766589e+002°)
1.86208713666287e+000	(5.55629669255315e+001dB,1.79992306174930e+002°)
1.90546071796325e+000	(5.55629595347276e+001dB,1.79991843641114e+002°)
1.94984459975804e+000	(5.55629514785337e+001dB,1.79991350152277e+002°)
1.99526231496888e+000	(5.55629426950362e+001dB,1.79990823554012e+002°)
2.04173794466953e+000	(5.55629331164609e+001dB,1.79990261540429e+002°)
2.08929613085404e+000	(5.55629226686139e+001dB,1.79989661643538e+002°)
2.13796208950223e+000	(5.55629112702689e+001dB,1.79989021221880e+002°)
2.18776162394955e+000	(5.55628988324950e+001dB,1.79988337448387e+002°)
2.23872113856834e+000	(5.55628852579217e+001dB,1.79987607297382e+002°)
2.29086765276777e+000	(5.55628704399318e+001dB,1.79986827530708e+002°)
2.34422881531992e+000	(5.55628542617783e+001dB,1.79985994682874e+002°)
2.39883291901949e+000	(5.55628365956164e+001dB,1.79985105045202e+002°)
2.45470891568503e+000	(5.55628173014420e+001dB,1.79984154648865e+002°)
2.51188643150958e+000	(5.55627962259300e+001dB,1.79983139246784e+002°)
2.57039578276886e+000	(5.55627732011602e+001dB,1.79982054294266e+002°)
2.63026799189538e+000	(5.55627480432215e+001dB,1.79980894928343e+002°)
2.69153480392691e+000	(5.55627205506830e+001dB,1.79979655945681e+002°)
2.75422870333816e+000	(5.55626905029182e+001dB,1.79978331779011e+002°)
2.81838293126445e+000	(5.55626576582687e+001dB,1.79976916471953e+002°)
2.88403150312660e+000	(5.55626217520330e+001dB,1.79975403652137e+002°)
2.95120922666638e+000	(5.55625824942623e+001dB,1.79973786502528e+002°)
3.01995172040201e+000	(5.55625395673449e+001dB,1.79972057730815e+002°)
3.09029543251359e+000	(5.55624926233614e+001dB,1.79970209536756e+002°)
3.16227766016837e+000	(5.55624412811846e+001dB,1.79968233577350e+002°)
3.23593656929628e+000	(5.55623851233044e+001dB,1.79966120929695e+002°)
3.31131121482591e+000	(5.55623236923480e+001dB,1.79963862051392e+002°)
3.38844156139202e+000	(5.55622564872680e+001dB,1.79961446738333e+002°)
3.46736850452531e+000	(5.55621829591668e+001dB,1.79958864079740e+002°)
3.54813389233575e+000	(5.55621025067217e+001dB,1.79956102410255e+002°)
3.63078054770101e+000	(5.55620144711737e+001dB,1.79953149258929e+002°)
3.71535229097172e+000	(5.55619181308390e+001dB,1.79949991294918e+002°)
3.80189396320560e+000	(5.55618126950954e+001dB,1.79946614269692e+002°)
3.89045144994280e+000	(5.55616972977977e+001dB,1.79943002955566e+002°)
3.98107170553496e+000	(5.55615709900636e+001dB,1.79939141080328e+002°)
4.07380277804112e+000	(5.55614327323745e+001dB,1.79935011257766e+002°)
4.16869383470335e+000	(5.55612813859232e+001dB,1.79930594913851e+002°)
4.26579518801592e+000	(5.55611157031393e+001dB,1.79925872208355e+002°)
4.36515832240165e+000	(5.55609343173140e+001dB,1.79920821951663e+002°)
4.46683592150962e+000	(5.55607357312385e+001dB,1.79915421516523e+002°)
4.57088189614874e+000	(5.55605183047644e+001dB,1.79909646744490e+002°)
4.67735141287197e+000	(5.55602802411839e+001dB,1.79903471846812e+002°)
4.78630092322637e+000	(5.55600195723187e+001dB,1.79896869299477e+002°)
4.89778819368445e+000	(5.55597341421962e+001dB,1.79889809732184e+002°)
5.01187233627271e+000	(5.55594215891810e+001dB,1.79882261810957e+002°)
5.12861383991364e+000	(5.55590793264171e+001dB,1.79874192114153e+002°)
5.24807460249771e+000	(5.55587045204213e+001dB,1.79865565001594e+002°)
5.37031796370252e+000	(5.55582940676579e+001dB,1.79856342476610e+002°)
5.49540873857623e+000	(5.55578445689031e+001dB,1.79846484040709e+002°)
5.62341325190348e+000	(5.55573523011969e+001dB,1.79835946540711e+002°)
5.75439937337156e+000	(5.55568131871554e+001dB,1.79824684008106e+002°)
5.88843655355588e+000	(5.55562227614009e+001dB,1.79812647490502e+002°)
6.02559586074356e+000	(5.55555761338426e+001dB,1.79799784875015e+002°)
6.16595001861481e+000	(5.55548679495164e+001dB,1.79786040703518e+002°)
6.30957344480192e+000	(5.55540923446687e+001dB,1.79771355979727e+002°)
6.45654229034654e+000	(5.55532428987382e+001dB,1.79755667968138e+002°)
6.60693448007594e+000	(5.55523125818602e+001dB,1.79738909984944e+002°)
6.76082975391980e+000	(5.55512936974851e+001dB,1.79721011181130e+002°)
6.91830970918935e+000	(5.55501778196663e+001dB,1.79701896318049e+002°)
7.07945784384136e+000	(5.55489557245346e+001dB,1.79681485535950e+002°)
7.24435960074988e+000	(5.55476173154324e+001dB,1.79659694116022e+002°)
7.41310241300916e+000	(5.55461515411398e+001dB,1.79636432236755e+002°)
7.58577575029182e+000	(5.55445463065699e+001dB,1.79611604725581e+002°)
7.76247116628690e+000	(5.55427883752657e+001dB,1.79585110807033e+002°)
7.94328234724279e+000	(5.55408632629673e+001dB,1.79556843848916e+002°)
8.12830516164097e+000	(5.55387551214631e+001dB,1.79526691108311e+002°)
8.31763771102669e+000	(5.55364466118721e+001dB,1.79494533479622e+002°)
8.51138038202374e+000	(5.55339187664342e+001dB,1.79460245247285e+002°)
8.70963589956078e+000	(5.55311508378141e+001dB,1.79423693846249e+002°)
8.91250938133743e+000	(5.55281201348446e+001dB,1.79384739633936e+002°)
9.12010839355907e+000	(5.55248018435531e+001dB,1.79343235677986e+002°)
9.33254300796988e+000	(5.55211688322269e+001dB,1.79299027564881e+002°)
9.54992586021433e+000	(5.55171914391811e+001dB,1.79251953235351e+002°)
9.77237220955808e+000	(5.55128372417969e+001dB,1.79201842853456e+002°)
9.99999999999997e+000	(5.55080708052972e+001dB,1.79148518717319e+002°)
1.02329299228075e+001	(5.55028534096234e+001dB,1.79091795220759e+002°)
1.04712854805090e+001	(5.54971427526692e+001dB,1.79031478876460e+002°)
1.07151930523760e+001	(5.54908926280206e+001dB,1.78967368412968e+002°)
1.09647819614318e+001	(5.54840525752404e+001dB,1.78899254959608e+002°)
1.12201845430196e+001	(5.54765675006287e+001dB,1.78826922335500e+002°)
1.14815362149688e+001	(5.54683772662840e+001dB,1.78750147461194e+002°)
1.17489755493953e+001	(5.54594162451910e+001dB,1.78668700914101e+002°)
1.20226443461741e+001	(5.54496128399672e+001dB,1.78582347651870e+002°)
1.23026877081238e+001	(5.54388889628219e+001dB,1.78490847931255e+002°)
1.25892541179416e+001	(5.54271594742172e+001dB,1.78393958453794e+002°)
1.28824955169313e+001	(5.54143315776762e+001dB,1.78291433773871e+002°)
1.31825673855640e+001	(5.54003041681724e+001dB,1.78183028009556e+002°)
1.34896288259165e+001	(5.53849671315517e+001dB,1.78068496901939e+002°)
1.38038426460288e+001	(5.53682005925046e+001dB,1.77947600274699e+002°)
1.41253754462275e+001	(5.53498741087250e+001dB,1.77820104952362e+002°)
1.44543977074592e+001	(5.53298458090751e+001dB,1.77685788203169e+002°)
1.47910838816820e+001	(5.53079614738411e+001dB,1.77544441780851e+002°)
1.51356124843620e+001	(5.52840535555232e+001dB,1.77395876648891e+002°)
1.54881661891248e+001	(5.52579401390750e+001dB,1.77239928481200e+002°)
1.58489319246111e+001	(5.52294238411104e+001dB,1.77076464044643e+002°)
1.62181009735892e+001	(5.51982906483607e+001dB,1.76905388581639e+002°)
1.65958690743755e+001	(5.51643086966006e+001dB,1.76726654325305e+002°)
1.69824365246174e+001	(5.51272269924197e+001dB,1.76540270295431e+002°)
1.73780082874937e+001	(5.50867740816067e+001dB,1.76346313541312e+002°)
1.77827941003892e+001	(5.50426566695970e+001dB,1.76144942017266e+002°)
1.81970085860998e+001	(5.49945582014358e+001dB,1.75936409298975e+002°)
1.86208713666286e+001	(5.49421374110987e+001dB,1.75721081374108e+002°)
1.90546071796324e+001	(5.48850268528489e+001dB,1.75499455769515e+002°)
1.94984459975804e+001	(5.48228314306847e+001dB,1.75272183310631e+002°)
1.99526231496887e+001	(5.47551269459644e+001dB,1.75040092847517e+002°)
2.04173794466952e+001	(5.46814586881408e+001dB,1.74804219327768e+002°)
2.08929613085403e+001	(5.46013400994309e+001dB,1.74565835651215e+002°)
2.13796208950222e+001	(5.45142515515129e+001dB,1.74326488807377e+002°)
2.18776162394954e+001	(5.44196392814432e+001dB,1.74088040877279e+002°)
2.23872113856833e+001	(5.43169145456255e+001dB,1.73852715580536e+002°)
2.29086765276776e+001	(5.42054530658205e+001dB,1.73623151171620e+002°)
2.34422881531991e+001	(5.40845948613231e+001dB,1.73402460642137e+002°)
2.39883291901948e+001	(5.39536445886435e+001dB,1.73194300375894e+002°)
2.45470891568502e+001	(5.38118725473414e+001dB,1.73002948638662e+002°)
2.51188643150957e+001	(5.36585165624247e+001dB,1.72833395572798e+002°)
2.57039578276885e+001	(5.34927850261334e+001dB,1.72691446715369e+002°)
2.63026799189537e+001	(5.33138614837889e+001dB,1.72583842469700e+002°)
2.69153480392690e+001	(5.31209112921029e+001dB,1.72518396428444e+002°)
2.75422870333815e+001	(5.29130910812340e+001dB,1.72504155947295e+002°)
2.81838293126444e+001	(5.26895620379158e+001dB,1.72551588845797e+002°)
2.88403150312659e+001	(5.24495084287223e+001dB,1.72672800450086e+002°)
2.95120922666637e+001	(5.21921633432250e+001dB,1.72881785175160e+002°)
3.01995172040200e+001	(5.19168444115793e+001dB,1.73194716082180e+002°)
3.09029543251358e+001	(5.16230033055434e+001dB,1.73630273662704e+002°)
3.16227766016837e+001	(5.13102942334989e+001dB,1.74210010352611e+002°)
3.23593656929627e+001	(5.09786684332608e+001dB,1.74958738083058e+002°)
3.31131121482590e+001	(5.06285038146242e+001dB,1.75904909547729e+002°)
3.38844156139201e+001	(5.02607811646258e+001dB,1.77080935290680e+002°)
3.46736850452530e+001	(4.98773200129128e+001dB,1.78523331899435e+002°)
3.54813389233574e+001	(4.94810867953163e+001dB,-1.79727476007912e+002°)
3.63078054770100e+001	(4.90765822398776e+001dB,-1.77627981575685e+002°)
3.71535229097171e+001	(4.86702984958494e+001dB,-1.75133462836962e+002°)
3.80189396320559e+001	(4.82712014487285e+001dB,-1.72201432609288e+002°)
3.89045144994279e+001	(4.78911316334704e+001dB,-1.68797246062366e+002°)
3.98107170553495e+001	(4.75449280387910e+001dB,-1.64902198792984e+002°)
4.07380277804111e+001	(4.72499891004903e+001dB,-1.60523674971312e+002°)
4.16869383470333e+001	(4.70249689877535e+001dB,-1.55705441866978e+002°)
4.26579518801591e+001	(4.68874818124954e+001dB,-1.50534377996450e+002°)
4.36515832240164e+001	(4.68511209320309e+001dB,-1.45139010332694e+002°)
4.46683592150961e+001	(4.69226492145640e+001dB,-1.39676940408658e+002°)
4.57088189614873e+001	(4.71004672550672e+001dB,-1.34312943938608e+002°)
4.67735141287196e+001	(4.73750571576771e+001dB,-1.29194632193938e+002°)
4.78630092322636e+001	(4.77311915900356e+001dB,-1.24434025700436e+002°)
4.89778819368444e+001	(4.81509454889930e+001dB,-1.20099925800222e+002°)
5.01187233627270e+001	(4.86164458268798e+001dB,-1.16220542192501e+002°)
