Freq.	V(n001)/(-I(V1))
1.00000000000000e+000	6.00001408531660e+002,1.01795016764180e-002
1.02329299228075e+000	6.00001446717632e+002,1.08787729495372e-002
1.04712854805090e+000	6.00001488529026e+002,1.16273475397406e-002
1.07151930523761e+000	6.00001534312733e+002,1.24287304334716e-002
1.09647819614318e+000	6.00001584448957e+002,1.32866762326476e-002
1.12201845430196e+000	6.00001639354419e+002,1.42052069250502e-002
1.14815362149688e+000	6.00001699485874e+002,1.51886308765978e-002
1.17489755493953e+000	6.00001765343956e+002,1.62415632179239e-002
1.20226443461741e+000	6.00001837477402e+002,1.73689476453180e-002
1.23026877081238e+000	6.00001916487679e+002,1.85760797785016e-002
1.25892541179417e+000	6.00002003034054e+002,1.98686321677635e-002
1.28824955169313e+000	6.00002097839156e+002,2.12526810704793e-002
1.31825673855641e+000	6.00002201695072e+002,2.27347351245470e-002
1.34896288259165e+000	6.00002315470025e+002,2.43217660587926e-002
1.38038426460288e+000	6.00002440115698e+002,2.60212415367068e-002
1.41253754462275e+000	6.00002576675263e+002,2.78411603747933e-002
1.44543977074593e+000	6.00002726292181e+002,2.97900902019888e-002
1.47910838816821e+000	6.00002890219845e+002,3.18772078002683e-002
1.51356124843621e+000	6.00003069832153e+002,3.41123422654376e-002
1.54881661891248e+000	6.00003266635101e+002,3.65060212383358e-002
1.58489319246111e+000	6.00003482279481e+002,3.90695203730614e-002
1.62181009735893e+000	6.00003718574804e+002,4.18149162851134e-002
1.65958690743756e+000	6.00003977504563e+002,4.47551432174405e-002
1.69824365246174e+000	6.00004261242962e+002,4.79040537099759e-002
1.73780082874937e+000	6.00004572173244e+002,5.12764834946734e-002
1.77827941003892e+000	6.00004912907788e+002,5.48883209481381e-002
1.81970085860998e+000	6.00005286310132e+002,5.87565814466269e-002
1.86208713666287e+000	6.00005695519113e+002,6.28994868497628e-002
1.90546071796325e+000	6.00006143975314e+002,6.73365506193524e-002
1.94984459975804e+000	6.00006635450064e+002,7.20886688289526e-002
1.99526231496888e+000	6.00007174077208e+002,7.71782175337797e-002
2.04173794466953e+000	6.00007764387927e+002,8.26291569335113e-002
2.08929613085404e+000	6.00008411348905e+002,8.84671427735230e-002
2.13796208950223e+000	6.00009120404138e+002,9.47196454806504e-002
2.18776162394955e+000	6.00009897520770e+002,1.01416077588965e-001
2.23872113856834e+000	6.00010749239304e+002,1.08587929946905e-001
2.29086765276777e+000	6.00011682728634e+002,1.16268917406653e-001
2.34422881531992e+000	6.00012705846340e+002,1.24495134529137e-001
2.39883291901949e+000	6.00013827204758e+002,1.33305222039178e-001
2.45470891568503e+000	6.00015056243371e+002,1.42740544743139e-001
2.51188643150958e+000	6.00016403308128e+002,1.52845381663149e-001
2.57039578276886e+000	6.00017879738346e+002,1.63667129205334e-001
2.63026799189538e+000	6.00019497961920e+002,1.75256518235637e-001
2.69153480392691e+000	6.00021271599627e+002,1.87667845980306e-001
2.75422870333816e+000	6.00023215579404e+002,2.00959223698395e-001
2.81838293126445e+000	6.00025346261523e+002,2.15192841216844e-001
2.88403150312660e+000	6.00027681575722e+002,2.30435249394685e-001
2.95120922666638e+000	6.00030241171415e+002,2.46757661660776e-001
3.01995172040201e+000	6.00033046582221e+002,2.64236275896472e-001
3.09029543251359e+000	6.00036121406175e+002,2.82952617981429e-001
3.16227766016837e+000	6.00039491503108e+002,3.02993908313972e-001
3.23593656929628e+000	6.00043185210808e+002,3.24453452871282e-001
3.31131121482591e+000	6.00047233581758e+002,3.47431060265585e-001
3.38844156139202e+000	6.00051670642380e+002,3.72033486497703e-001
3.46736850452531e+000	6.00056533676922e+002,3.98374909090907e-001
3.54813389233575e+000	6.00061863538302e+002,4.26577432440985e-001
3.63078054770101e+000	6.00067704988461e+002,4.56771626304181e-001
3.71535229097172e+000	6.00074107071002e+002,4.89097099427346e-001
3.80189396320560e+000	6.00081123519146e+002,5.23703110441823e-001
3.89045144994280e+000	6.00088813202343e+002,5.60749218269384e-001
3.98107170553496e+000	6.00097240615145e+002,6.00405974339034e-001
4.07380277804112e+000	6.00106476412331e+002,6.42855659096664e-001
4.16869383470335e+000	6.00116597994606e+002,6.88293065358070e-001
4.26579518801592e+000	6.00127690149618e+002,7.36926331173391e-001
4.36515832240165e+000	6.00139845753464e+002,7.88977824991881e-001
4.46683592150962e+000	6.00153166538342e+002,8.44685086058127e-001
4.57088189614874e+000	6.00167763932528e+002,9.04301823025306e-001
4.67735141287197e+000	6.00183759979419e+002,9.68098973944208e-001
4.78630092322637e+000	6.00201288343019e+002,1.03636583085137e+000
4.89778819368445e+000	6.00220495407901e+002,1.10941123231488e+000
5.01187233627271e+000	6.00241541482453e+002,1.18756482736550e+000
5.12861383991364e+000	6.00264602114979e+002,1.27117841437836e+000
5.24807460249771e+000	6.00289869533159e+002,1.36062735846789e+000
5.37031796370252e+000	6.00317554218271e+002,1.45631209112950e+000
5.49540873857623e+000	6.00347886626712e+002,1.55865969583689e+000
5.62341325190348e+000	6.00381119072397e+002,1.66812558335707e+000
5.75439937337156e+000	6.00417527784975e+002,1.78519526059497e+000
5.88843655355588e+000	6.00457415160076e+002,1.91038619669899e+000
6.02559586074356e+000	6.00501112219355e+002,2.04424979018935e+000
6.16595001861481e+000	6.00548981299700e+002,2.18737344073422e+000
6.30957344480192e+000	6.00601418992770e+002,2.34038272912095e+000
6.45654229034654e+000	6.00658859357969e+002,2.50394370877616e+000
6.60693448007594e+000	6.00721777434094e+002,2.67876531199748e+000
