Freq.	V(n001)/I(V1)
1.00000000000000e+000	(5.55630453994833e+001dB,-1.79999027931476e+002°)
1.02329299228075e+000	(5.55630459524581e+001dB,-1.79998961156211e+002°)
1.04712854805090e+000	(5.55630465579418e+001dB,-1.79998889672853e+002°)
1.07151930523761e+000	(5.55630472209598e+001dB,-1.79998813146704e+002°)
1.09647819614318e+000	(5.55630479470202e+001dB,-1.79998731219231e+002°)
1.12201845430196e+000	(5.55630487421607e+001dB,-1.79998643506367e+002°)
1.14815362149688e+000	(5.55630496129990e+001dB,-1.79998549596699e+002°)
1.17489755493953e+000	(5.55630505667888e+001dB,-1.79998449049522e+002°)
1.20226443461741e+000	(5.55630516114814e+001dB,-1.79998341392755e+002°)
1.23026877081238e+000	(5.55630527557922e+001dB,-1.79998226120715e+002°)
1.25892541179417e+000	(5.55630540092746e+001dB,-1.79998102691721e+002°)
1.28824955169313e+000	(5.55630553824010e+001dB,-1.79997970525549e+002°)
1.31825673855641e+000	(5.55630568866504e+001dB,-1.79997829000683e+002°)
1.34896288259165e+000	(5.55630585346062e+001dB,-1.79997677451388e+002°)
1.38038426460288e+000	(5.55630603400622e+001dB,-1.79997515164577e+002°)
1.41253754462275e+000	(5.55630623181386e+001dB,-1.79997341376442e+002°)
1.44543977074593e+000	(5.55630644854107e+001dB,-1.79997155268862e+002°)
1.47910838816821e+000	(5.55630668600483e+001dB,-1.79996955965550e+002°)
1.51356124843621e+000	(5.55630694619692e+001dB,-1.79996742527935e+002°)
1.54881661891248e+000	(5.55630723130078e+001dB,-1.79996513950744e+002°)
1.58489319246111e+000	(5.55630754370996e+001dB,-1.79996269157283e+002°)
1.62181009735893e+000	(5.55630788604830e+001dB,-1.79996006994381e+002°)
1.65958690743756e+000	(5.55630826119218e+001dB,-1.79995726226976e+002°)
1.69824365246174e+000	(5.55630867229474e+001dB,-1.79995425532333e+002°)
1.73780082874937e+000	(5.55630912281261e+001dB,-1.79995103493837e+002°)
1.77827941003892e+000	(5.55630961653506e+001dB,-1.79994758594374e+002°)
1.81970085860998e+000	(5.55631015761604e+001dB,-1.79994389209226e+002°)
1.86208713666287e+000	(5.55631075060930e+001dB,-1.79993993598488e+002°)
1.90546071796325e+000	(5.55631140050684e+001dB,-1.79993569898942e+002°)
1.94984459975804e+000	(5.55631211278111e+001dB,-1.79993116115372e+002°)
1.99526231496888e+000	(5.55631289343124e+001dB,-1.79992630111269e+002°)
2.04173794466953e+000	(5.55631374903373e+001dB,-1.79992109598895e+002°)
